School Name,Department Name,URL,Duration_Study_list
Erasmus Universitiet Rotterdam,Governance of Migration and Diversity - Public Administration,https://www.eur.nl/en/master/governance-migration-and-diversity-public-administration,1 year
Erasmus Universitiet Rotterdam,Media Studies,https://www.eur.nl/en/master/media-studies,1 year
Erasmus Universitiet Rotterdam,"Media, Culture & Society",https://www.eur.nl/en/master/media-culture-society,1 year
Erasmus Universitiet Rotterdam,Media & Business,https://www.eur.nl/en/master/media-business,1 year
Erasmus Universitiet Rotterdam,Nanobiology,https://www.eur.nl/en/master/nanobiology,2 years
Erasmus Universitiet Rotterdam,Philosophy,https://www.eur.nl/en/master/philosophy,1 year
Erasmus Universitiet Rotterdam,Politics and Society,https://www.eur.nl/en/master/politics-and-society,1 year
Erasmus Universitiet Rotterdam,Governance of Migration and Diversity - Sociology,https://www.eur.nl/en/master/governance-migration-and-diversity-sociology,1 year
Erasmus Universitiet Rotterdam,Management of International Social Challenges,https://www.eur.nl/en/bachelor/management-international-social-challenges,3 years
Erasmus Universitiet Rotterdam,"Arbeid, Organisatie en Management",https://www.eur.nl/en/master/arbeid-organisatie-en-management,1 year
Erasmus Universitiet Rotterdam,Grootstedelijke Vraagstukken en Beleid,https://www.eur.nl/en/master/grootstedelijke-vraagstukken-en-beleid,1 year
Erasmus Universitiet Rotterdam,European Master in Health Economics and Management,https://www.eur.nl/en/master/european-master-health-economics-and-management,2 years
Erasmus Universitiet Rotterdam,Fiscaal Recht (deeltijd),https://www.eur.nl/bachelor/fiscaal-recht-deeltijd,3 years
Erasmus Universitiet Rotterdam,Wijsgerige Antropologie (deeltijd),https://www.eur.nl/master/wijsgerige-antropologie-deeltijd,2 years
Erasmus Universitiet Rotterdam,Avondprogramma Bestuurskunde,https://www.eur.nl/master/avondprogramma-bestuurskunde,2 years
Erasmus Universitiet Rotterdam,Beleid en Politiek,https://www.eur.nl/en/master/beleid-en-politiek,1 year
Erasmus Universitiet Rotterdam,Governance en Management van Complexe Systemen,https://www.eur.nl/en/master/governance-en-management-van-complexe-systemen,1 year
Erasmus Universitiet Rotterdam,Management van HR en verandering,https://www.eur.nl/en/master/management-van-hr-en-verandering,1 year
Erasmus Universitiet Rotterdam,Publiek Management,https://www.eur.nl/en/master/publiek-management,1 year
Erasmus Universitiet Rotterdam,Master City Developer,https://www.eur.nl/post-master/master-city-developer,2 years
Erasmus Universitiet Rotterdam,Development Studies,https://www.eur.nl/en/master/development-studies,16 months
Erasmus Universitiet Rotterdam,"Agrarian, Food and Environmental Studies",https://www.eur.nl/en/post-master/agrarian-food-and-environmental-studies,0 years
Erasmus Universitiet Rotterdam,Economics of Development,https://www.eur.nl/en/post-master/economics-development,0 years
Erasmus Universitiet Rotterdam,Governance and Development Policy,https://www.eur.nl/en/post-master/governance-and-development-policy,0 years
Erasmus Universitiet Rotterdam,"Human Rights, Gender and Conflict Studies: Social Justice Perspectives",https://www.eur.nl/en/post-master/human-rights-gender-and-conflict-studies-social-justice-perspectives,0 years
Erasmus Universitiet Rotterdam,Social Policy for Development,https://www.eur.nl/en/post-master/social-policy-development,0 years
Erasmus Universitiet Rotterdam,Mundus Master in Public Policy,https://www.eur.nl/en/master/mundus-master-public-policy,2 years
Erasmus Universitiet Rotterdam,Political Economy and Development (ISS-IBEI track),https://www.eur.nl/en/post-master/political-economy-and-development-iss-ibei-track,2 years
Erasmus Universitiet Rotterdam,Governance and Development (ISS-University of York track),https://www.eur.nl/en/post-master/governance-and-development-iss-university-york-track,2 years
Erasmus Universitiet Rotterdam,Dubbelstudie Recht en Bedrijfskunde,https://www.eur.nl/bachelor/dubbelstudie-recht-en-bedrijfskunde,6 years
Erasmus Universitiet Rotterdam,Media en Cultuur (deeltijd),https://www.eur.nl/master/media-en-cultuur-deeltijd,2 years
Erasmus Universitiet Rotterdam,Media & Journalistiek (deeltijd),https://www.eur.nl/master/media-journalistiek-deeltijd,2 years
Erasmus Universitiet Rotterdam,Orthopedagogiek,https://www.eur.nl/en/master/orthopedagogiek,1 year
Erasmus Universitiet Rotterdam,Onderwijswetenschappen,https://www.eur.nl/en/master/onderwijswetenschappen,1 year
Erasmus Universitiet Rotterdam,Opvoedvraagstukken in een diverse samenleving,https://www.eur.nl/en/master/opvoedvraagstukken-een-diverse-samenleving,1 year
Erasmus Universitiet Rotterdam,Pedagogische Wetenschappen,https://www.eur.nl/en/bachelor/pedagogische-wetenschappen,3 years
Erasmus Universitiet Rotterdam,Dual Degree in Arts and Sciences,https://www.eur.nl/en/bachelor/dual-degree-arts-and-sciences,5 years
Erasmus Universitiet Rotterdam,Dubbele master Privaatrecht & Aansprakelijkheid en Verzekering,https://www.eur.nl/master/dubbele-master-privaatrecht-aansprakelijkheid-en-verzekering,20 months
Erasmus Universitiet Rotterdam,"Tourism, Culture and Society",https://www.eur.nl/en/master/tourism-culture-and-society,1 year
Erasmus Universitiet Rotterdam,Business Administration,https://www.eur.nl/en/master/business-administration,1 year
Erasmus Universitiet Rotterdam,Data Science and Marketing Analytics,https://www.eur.nl/en/master/data-science-and-marketing-analytics,1 year
Erasmus Universitiet Rotterdam,Sociologie,https://www.eur.nl/en/pre-master/sociologie,1 year
Erasmus Universitiet Rotterdam,Pedagogische Wetenschappen,https://www.eur.nl/en/pre-master/pedagogische-wetenschappen,1 year
Erasmus Universitiet Rotterdam,Bestuurskunde,https://www.eur.nl/en/pre-master/bestuurskunde,1 year
Erasmus Universitiet Rotterdam,"Gezondheidswetenschappen, BMG",https://www.eur.nl/pre-master/gezondheidswetenschappen-bmg,1 year
Erasmus Universitiet Rotterdam,Rechtswetenschappelijk Onderzoek,https://www.eur.nl/research-master/rechtswetenschappelijk-onderzoek,2 years
Erasmus Universitiet Rotterdam,History,https://www.eur.nl/en/pre-master/history,12 months
Erasmus Universitiet Rotterdam,Geschiedenis,https://www.eur.nl/en/pre-master/geschiedenis,12 months
Erasmus Universitiet Rotterdam,"Arts, Culture & Society",https://www.eur.nl/en/pre-master/arts-culture-society,12 months
Erasmus Universitiet Rotterdam,Cultural Economics and Entrepreneurship,https://www.eur.nl/en/pre-master/cultural-economics-and-entrepreneurship,12 months
Erasmus Universitiet Rotterdam,Media & Journalistiek,https://www.eur.nl/pre-master/media-journalistiek,12 months
Erasmus Universitiet Rotterdam,Media Studies,https://www.eur.nl/en/pre-master/media-studies,12 months
Erasmus Universitiet Rotterdam,Double bachelor in Economics and Philosophy of Economics,https://www.eur.nl/en/bachelor/double-bachelor-economics-and-philosophy-economics,4 years
Erasmus Universitiet Rotterdam,Double bachelor in Econometrics and Philosophy of Econometrics,https://www.eur.nl/en/bachelor/double-bachelor-econometrics-and-philosophy-econometrics,4 years
Erasmus Universitiet Rotterdam,"Tourism, Culture and Society",https://www.eur.nl/en/pre-master/tourism-culture-and-society,1 year
Erasmus Universitiet Rotterdam,"Arts, Culture and Society",https://www.eur.nl/en/master/arts-culture-and-society,1 year
Erasmus Universitiet Rotterdam,"Global Markets, Local Creativities (GLOCAL)",https://www.eur.nl/en/master/global-markets-local-creativities-glocal,2 years
Erasmus Universitiet Rotterdam,Registeraccountant,https://www.eur.nl/post-master/registeraccountant,30 months
Erasmus Universitiet Rotterdam,Dubbele master Arbeidsrecht en Ondernemingsrecht,https://www.eur.nl/master/dubbele-master-arbeidsrecht-en-ondernemingsrecht,18 months
Erasmus Universitiet Rotterdam,Fiscaal Recht (Indirecte Belastingen),https://www.eur.nl/master/fiscaal-recht-indirecte-belastingen,1 year
Erasmus Universitiet Rotterdam,Health Sciences,https://www.eur.nl/en/research-master/health-sciences-0,2 years
Erasmus Universitiet Rotterdam,Philosophy (part-time),https://www.eur.nl/en/master/philosophy-part-time,2 years
Erasmus Universitiet Rotterdam,Urban Governance of Inclusive Sustainable Cities,https://www.eur.nl/en/master/urban-governance-inclusive-sustainable-cities,1 year
Erasmus Universitiet Rotterdam,International Arbitration,https://www.eur.nl/en/master/international-arbitration,1 year
Erasmus Universitiet Rotterdam,Social Inequalities,https://www.eur.nl/en/master/social-inequalities,1 year
Erasmus Universitiet Rotterdam,Engaging Public Issues,https://www.eur.nl/en/master/engaging-public-issues,1 year
Erasmus Universitiet Rotterdam,Fiscale Economie (Indirecte Belastingen),https://www.eur.nl/en/master/fiscale-economie-indirecte-belastingen,1 year
Erasmus Universitiet Rotterdam,International Master’s in Advanced Research in Criminology (IMARC),https://www.eur.nl/en/master/international-masters-advanced-research-criminology-imarc,2 years
Erasmus Universitiet Rotterdam,Media & Creative Industries,https://www.eur.nl/en/master/media-creative-industries,1 year
Erasmus Universitiet Rotterdam,Master in Management (Parttime),https://www.eur.nl/master/master-management-parttime,24 months
Erasmus Universitiet Rotterdam,Forensic and Legal Psychology,https://www.eur.nl/en/master/forensic-and-legal-psychology,1 year
Erasmus Universitiet Rotterdam,Psychology of the Digital Media,https://www.eur.nl/en/master/psychology-digital-media,1 year
Erasmus Universitiet Rotterdam,Health Psychology,https://www.eur.nl/en/master/health-psychology,1 year
Erasmus Universitiet Rotterdam,"Urban Environment, Sustainability & Climate Change",https://www.eur.nl/en/master/urban-environment-sustainability-climate-change,12 months
Erasmus Universitiet Rotterdam,Strategic Urban Planning & Policies,https://www.eur.nl/en/master/strategic-urban-planning-policies,12 months
Erasmus Universitiet Rotterdam,Digitalisation in Work and Society,https://www.eur.nl/en/master/digitalisation-work-and-society,1 year
Erasmus Universitiet Rotterdam,Business Analytics & Management,https://www.eur.nl/en/master/business-analytics-management,1 year
Erasmus Universitiet Rotterdam,Econometrics and Management Science,https://www.eur.nl/en/pre-master/econometrics-and-management-science,1 year
Erasmus Universitiet Rotterdam,Health Sciences,https://www.eur.nl/en/research-master/health-sciences,2 years
Erasmus Universitiet Rotterdam,Research Master Business Data Science,https://www.eur.nl/en/research-master/research-master-business-data-science,2 years
Erasmus Universitiet Rotterdam,Liberal Arts and Sciences,https://www.eur.nl/en/bachelor/liberal-arts-and-sciences,3 years
Erasmus Universitiet Rotterdam,Commercieel Privaatrecht,https://www.eur.nl/post-master/commercieel-privaatrecht-0,15 months
Erasmus Universitiet Rotterdam,"Media, Digitalisation & Social Impact",https://www.eur.nl/en/master/media-digitalisation-social-impact,1 year
Erasmus Universitiet Rotterdam,Climate-Resilient Cities,https://www.eur.nl/en/master/climate-resilient-cities,18 months
Erasmus Universitiet Rotterdam,Medical Business and Innovation,https://www.eur.nl/en/master/medical-business-and-innovation,1 year
Erasmus Universitiet Rotterdam,Genomics in Society,https://www.eur.nl/en/research-master/genomics-society,24 months
Erasmus Universitiet Rotterdam,Educatieve Master Primair Onderwijs,https://www.eur.nl/en/master/educatieve-master-primair-onderwijs,2 years
Erasmus Universitiet Rotterdam,"Data Science, Business Analytics & AI",https://www.eur.nl/post-master/data-science-business-analytics-ai,1 year
Erasmus Universitiet Rotterdam,Economics of Sustainability,https://www.eur.nl/en/master/economics-sustainability,1 year
Erasmus Universitiet Rotterdam,Applied History,https://www.eur.nl/en/master/applied-history,1 year
Erasmus Universitiet Rotterdam,Urban Digital Transformation & Innovation,https://www.eur.nl/en/master/urban-digital-transformation-innovation,12 months
Erasmus Universitiet Rotterdam,Urban Housing & Land Justice,https://www.eur.nl/en/master/urban-housing-land-justice,12 months
Erasmus Universitiet Rotterdam,"Public Governance, Management and Policy (online master)",https://www.eur.nl/en/master/public-governance-management-and-policy-online-master,1 year
Erasmus Universitiet Rotterdam,Societal Transitions,https://www.eur.nl/en/master/societal-transitions,1 year
Erasmus Universitiet Rotterdam,IT-Auditing & Advisory,https://www.eur.nl/post-master/it-auditing-advisory,15 months
Erasmus Universitiet Rotterdam,Law and Technology,https://www.eur.nl/en/master/law-and-technology,1 year
Erasmus Universitiet Rotterdam,Geschiedenis,https://www.eur.nl/bachelor/geschiedenis,3 years
Erasmus Universitiet Rotterdam,Managing Art and Cultural Heritage in Global Markets (MAGMa),https://www.eur.nl/en/master/managing-art-and-cultural-heritage-global-markets-magma,2 years
Erasmus Universitiet Rotterdam,Pre-Master Philosophy,https://www.eur.nl/en/pre-master/pre-master-philosophy,1 year
Erasmus Universitiet Rotterdam,"Polarisatie, Democratie en Samenleving",https://www.eur.nl/en/master/polarisatie-democratie-en-samenleving,1 year
Erasmus Universitiet Rotterdam,Media & Business,https://www.eur.nl/en/pre-master/media-business,12 months
Erasmus Universitiet Rotterdam,Media & Creative Industries,https://www.eur.nl/en/pre-master/media-creative-industries,12 months
Erasmus Universitiet Rotterdam,"Media, Culture & Society",https://www.eur.nl/en/pre-master/media-culture-society,12 months
Erasmus Universitiet Rotterdam,Applied History,https://www.eur.nl/en/pre-master/applied-history,12 months
Erasmus Universitiet Rotterdam,Global History and International Relations,https://www.eur.nl/en/pre-master/global-history-and-international-relations,12 months
Erasmus Universitiet Rotterdam,Redesigning the Post-Industrial City,https://www.eur.nl/en/master/redesigning-post-industrial-city,2 years
Erasmus Universitiet Rotterdam,Algemene Cultuurwetenschappen,https://www.eur.nl/en/bachelor/algemene-cultuurwetenschappen-0, years
Erasmus Universitiet Rotterdam,Economie & Samenleving,https://www.eur.nl/en/bachelor/economie-samenleving, years
Erasmus Universitiet Rotterdam,Online MSc in Sustainability Management,https://www.eur.nl/en/master/online-msc-sustainability-management, months
