School Name,Department Name,URL,Degree,Description
Bath Spa University,Leadership,https://www.bathspa.ac.uk/courses/pg-leadership/,Level: Postgraduate,Our MBA in leadership and management offers flexible work-based learning to advance your career in senior and strategic business roles.
Bath Spa University,Legal Foundations,https://www.bathspa.ac.uk/courses/pg-legal-foundations/,Level: Postgraduate,A postgraduate law course designed to support your progress towards legal qualification in England and Wales.
Bath Spa University,Marketing,https://www.bathspa.ac.uk/courses/ug-marketing/,Level: Undergraduate,Our socially conscious Marketing degree will give you the tools to succeed in a changing digital landscape.
Bath Spa University,Marketing and Brand Management,https://www.bathspa.ac.uk/courses/pg-marketing-and-brand-management/,Level: Postgraduate,"Expand your practical, theoretical and professional experience with our Master's in Marketing and Brand Management."
Bath Spa University,MBA,https://www.bathspa.ac.uk/courses/pg-business-administration-london/,Level: Postgraduate,Become an effective and ethical manager with our MBA at Bath Spa University London.
Bath Spa University,Media Communications,https://www.bathspa.ac.uk/courses/ug-media-communications/,Level: Undergraduate,Challenge the global media landscape with this practical and research-led Media degree.
Bath Spa University,Media Communications and Publishing,https://www.bathspa.ac.uk/courses/ug-media-communications-and-publishing/,Level: Undergraduate,"Build industry contacts, gain practical skills and learn innovative approaches to communicating ideas with our Media Communications and Publishing degree."
Bath Spa University,Media Communications and Sociology,https://www.bathspa.ac.uk/courses/ug-media-communications-and-sociology/,Level: Undergraduate,"Broaden your experience, explore mass media and gain valuable, employable skills by combining a Media and Sociology degree."
Bath Spa University,Music,https://www.bathspa.ac.uk/courses/ug-music/,Level: Undergraduate,"Learn through practical music-making every day, make a difference with your music, and build a viable, sustainable career."
Bath Spa University,Music (Performance),https://www.bathspa.ac.uk/courses/ug-music-performance/,Level: Undergraduate,Become a versatile performing musician who is ready for a varied and viable career in the wider entertainment industry.
Bath Spa University,Nature and Travel Writing,https://www.bathspa.ac.uk/courses/pg-nature-and-travel-writing/,Level: Postgraduate,"For any creative writer inspired by places, people and wildlife, who wants to be published."
